luc_class,region,rock_type,soil,slope,erosion,vegetation
4e 1,WKO,Mo,59,D    +C,0,P 1 l 1
3w 2,GEC,Al,@NZSC,A    +A /B,0,refer gecveg
7e11,GEC,Gr+Gw,@NZSC,E    +F,1G 1Ss,refer gecveg
6e 3,WKO,(Mo)/Ar+Gw,MtH,E    +D,1Ss1Sb,P 2 m 1 m 4
6e 8,WKO,Mo/Li,62gH,F    +D,0,M 1 n 5 p 2
7e24,GEC,Ac+Vo,@NZSC,F,2G 2Sb,refer gecveg
2s 2,GEC,Al/Gr,@NZSC,A,0,refer gecveg
3w 4,NLD,Pt,OG,A,0,P 1
7e19,GEC,Ac,@NZSC,D    +E,3Ef2G,refer gecveg
2s 3,GEC,Mo/Gr,@NZSC,A    +B,0,refer gecveg
7e 8,GEC,Ar+Ac+(Vo),@NZSC,F    +E,2Ss1G,refer gecveg
2s 3,GEC,Mo,@NZSC,A,0,refer gecveg
6e 6,BOP,Mo/Lp/Ft,MbH,E,1Sh,P 2 m 6
2w 1,GEC,Al,@NZSC,A,1Sb,refer gecveg
2w 3,WKO,Us,pt48b,A,0,P 1 l 1 n 8
6e 1,WKO,Mo/Vo+Gw,59 H,E    +F,1Ss,P 1
6e15,BOP,Kt/Mo/Ft,16 H,E,0,N 6 m 4
2s 1,GEC,Lo+Al,@NZSC,A',0,refer gecveg
7e 1,BOP,Mo/Vo,16 H,F,1Ss,P 1cn3a
2w 1,BOP,Tp,Pr,A,0,P 1
3e 1,EBP,Mo,51,C,0,P 1 m 1
7e 8,GEC,Ar+(Gw),@NZSC,F    +H,1Ss1Rf,refer gecveg
6e 3,BOP,Mo/Vo,16 H,E,1Ss,P 1cn3a
2s 1,GEC,Af+Lo,@NZSC,A,0,refer gecveg
6e 4,BOP,Mo/Ft,WxH,E    +F,1Sh,P 2 M 6
6e 4,WKO,Mo/Vo,57 H,F,0,M 7 p 2
2s 2,GEC,Al/Gr,@NZSC,A,2Sb,refer gecveg
2s 1,WKO,Us,48b,A,0,P 1 l 1
3w 1,BOP,Pt,Onp,A,0,P 2 h 1
8e 2,GEC,Sb+Mb,@NZSC,G    +H,2Ss2Rf,refer gecveg
6e 4,BOP,Mo/Ft,WxH,E    +D,1Sh,P 1 m 1
6e11,BOP,Mo/Vo,16 H,D,1G,cN 5 p 1
8e 2,GEC,Sb+Mb,@NZSC,G    +H,2Ss2Rf,refer gecveg
7e24,GEC,Ar,@NZSC,F    +E,1Ss1G,refer gecveg
6e 1,WKO,Mo/Vo,57,E    +D,0,P 1
8e 9,SI,(Al)/Gw,57,F,4Sc Da,p 4
6e 6,WKO,Mo/Gw,60eH,E    +F,1Ss1Sh,P 1 p 2cn 5
7e24,GEC,Ac,@NZSC,E,2G 2Ef1Ss,refer gecveg
8e 4,GEC,Gw,@NZSC,G    +F,1Da,refer gecveg
2w 2,WKO,Al+Pt,108a,A,0,P 1 h 1
4e 9,BOP,Mo/Vo,17,C,0,M 6 n 6cn3a
4e 1,WKO,Mo,57,D    +C,0,P 1 l 1
7e24,GEC,Ac,@NZSC,F    +G,3G 1Ss,refer gecveg
2s 2,GEC,Gr,@NZSC,A,0,refer gecveg
3e 5,BOP,Tp+Mo,14d,B    +C,0,P 1 n 6
6e 1,WKO,Mo/Vo,57,D    +E,0,P 1
7e 2,BOP,Mo/Ft,126c,F    +E,0,M 6 n 6
7e 5,BOP,Mo/Lp/Vo,PkS,F    +E,0,cN3a m 6
4s 1,BOP,Ta/Kt/Mo,5,B,0,M 1 h 3 p 2
2s 3,GEC,Mo/Gr,@NZSC,A    +B,0,refer gecveg
4e 1,WKO,Mo,57,D,0,P 1 h 2
7e18,GEC,Mx,@NZSC,D,3Ef1G,refer gecveg
4e 9,BOP,Mo/Ft/Vo,17,C,0,P 1cn3a
3w 1,WKO,Al,Mp,A,1Sb,P 1 h 2 m 1
6e15,WKO,Us,HoH,D    +E,1Ss,P 1 m 8 m 1
7e 9,BOP,Mo/Ft/Vo,126,F /G,1Ss,N 5
3s 1,GEC,Gr/Ac,@NZSC,A,3Sb,refer gecveg
7e 8,GEC,Ar,@NZSC,F    +E,1G,refer gecveg
2s 1,GEC,Lo+Al,@NZSC,B,0,refer gecveg
3s 1,WKO,Tp,1b,B,0,P 1
7e 6,WKO,Vo,KoS,F    +G,2Da,N3a
6e 5,WKO,Ar+Gw,MtH,E,1Ss,P 1 p 2 h 2
4e 1,WKO,Mo,57,D,0,P 1 h 2
7e 1,WKO,(Mo)/Vo,126a,G,0,cN 5 M 6 p 1
7e24,GEC,Ac+Gw,@NZSC,E    +F,3G 2Ef2Su1Ss,refer gecveg
3e 5+7e 2,BOP,(Kt)/Mo/Ft,14b,B    +F,2Sh1Ss,P 1 P 2 m 6
6e13,WKO,Gw+Ar,PaS,F    +E,1Sh1Ss,P 1 p 2 m 1
6e22,GEC,Ac,@NZSC,D    +E,2Ef2G,refer gecveg
4e12,BOP,Mo/Vo,20a,B    +C,0,cN 5
3s 1,GEC,Al/Gr,@NZSC,A',2Sb,refer gecveg
3s 1,GEC,Al/Gr,@NZSC,A,2Sb,refer gecveg
6e22,GEC,Ac,@NZSC,E,1Ef1Ss1G,refer gecveg
4e 1,WKO,Mo,59c,D    +C,0,P 1
6e 1,WKO,Mo/Vo,57,E    +D,0,P 1
3s 4,BOP,Kt/Mo,16b,B,0,P 1
2s 1,GEC,Al/Gr+Lo/Gr+Gr,@NZSC,A,0,refer gecveg
7e19,GEC,Ac+Mx,@NZSC,E    +D,2Ef2G 1Ss,refer gecveg
3e 6,BOP,Kt/Mo,Tp,B,0,P 1
6e 2,EBP,Gw,51 H,D    +E,0,M 1 P 2
8e 3,BOP,Mo/Ft/Vo,126,G,0,N 5
2s 3,GEC,Mo/Gr,@NZSC,A,0,refer gecveg
3e 1,WKO,Mo,57,C,0,P 1
4e 1,WKO,Mo,Ku,C,0,P 1
6e22,GEC,Ac+Gr,@NZSC,D,1Ss,refer gecveg
2s 1,GEC,Al/Gr+Lo/Gr,@NZSC,A,0,refer gecveg
3e 5,BOP,Kt/Ft+Tp,Mj,B'   +C,2Sb,P 1 m 6 n 6
6e 2,NLD,Sb+Sm,YTH,E    +D,1Sh,M 1 p 1
2s 2,GEC,Gr+Al,@NZSC,A /B,1D,refer gecveg
6e 4,WKO,(Mo)/Sm+Mm,62cH,E    +F,1Sh,cN 5 m 1 m 6
6e 1,WKO,Mo/Us,57,D    +E,0,P 1
8e 4,GEC,Gw,@NZSC,G,2Sb1Da,refer gecveg
7e 8,GEC,Ac+Gw,@NZSC,F,1G 1Ss,refer gecveg
6e11,BOP,Mo/Vo,20aH,E    +D,0,cN 5
7e 6,WKO,Vo,KoS,F    +G,1Ss,N3a
3s 1,GEC,Al/Gr,@NZSC,B,3Sb1G,refer gecveg
6e15+4e 5,BOP,Kt/Mo/Ft,14dH,E    +C,1Sh,P 1cn3a
6e15,BOP,Kt/Mo/Ft,16bH,E,0,cN 5cn3a
6e22,GEC,Ar,@NZSC,E,0,refer gecveg
7e11,GEC,Gw,@NZSC,F,1Da,refer gecveg
7e20,MARL,Gw,51,F,2Sc2Sh,p 4 m 5 p 3
6e 5,WKO,(Mo)/Ar+Gw,29aH,E,1Ss,cN3a
4e 5,BOP,Mo/Tp/Us,Mj,C    +D,0,P 1 m 1
4e 1,WKO,Mo,57,D    +C,0,P 1 l 3
4s 1,GEC,Gr,@NZSC,A,0,refer gecveg
7e19,GEC,Ac,@NZSC,F    +E,2Ef1G,refer gecveg
3s 6,BOP,Tp,Yp,A,0,P 1
7e24,GEC,Ac,@NZSC,E    +F,3G 2Ef,refer gecveg
7e 8,GEC,Ac,@NZSC,E,2Sb1G 1Ef,refer gecveg
4e 1,WKO,Mo,57,D    +C,1Sh,P 1
3e 1,WKO,Mo,57,B    +C,0,P 1 l 1
8e11,SI,Gw,BRock,G,3Sc,h 4
7e 8,GEC,Ac+Gw,@NZSC,F,1G 1Ss,refer gecveg
6e 3,BOP,Mo/Vo,16 H,D,0,M 1 n 5 p 1
2s 1,WKO,Us,48b,A,0,P 1 l 1
7e 2,BOP,Mo/Ft,PkS,F    +E,1Ss,cN 5
7e24,GEC,Ac,@NZSC,F    +E,3G 2Su2Sb,refer gecveg
3w 1,WKO,Us,48b,B,1Sb,P 1
7e10,WKO,Us,48b,F    +A,1G 1Ss,M 9 m 8 m 1
2s 3,GEC,Mo/Gr,@NZSC,B',1G,refer gecveg
4s 2,BOP,Wb,Koe,B    +C,0,P 1
6e 1,WKO,Mo/Vo,57 H,E    +F,2Es,P 1
6s 4+7e15,TMU,Wb,H,A    +C,1W,H 3 p 2
7e 2+3e 5,BOP,(Kt)/Mo/Ft,16bH,F    +C,2Sh,P 2cn3a m 4
6e22,GEC,Ac+Ar,@NZSC,E,2Ss1Ef,refer gecveg
4e 1,WKO,Mo,57,C    +D,0,P 1
7e11,GEC,Gw,@NZSC,F,1Da,refer gecveg
8e 9,GEC,Ac,@NZSC,G,5G 3Sb,refer gecveg
8e 1,WKO,Vo,KoS,G,2Da,N 5 n3b
7e 2,BOP,Mo/Ft/Vo,126c,F,1Sh1Ss,cN 5 m 6 n 6
7e 2,WKO,Gw+Ar,121d,F    +G,1Ss,cN 5 m 6
6e 2,GEC,Mj,@NZSC,D    +C,2Ef,refer gecveg
6e16,NLD,Vo',WTH,F    +E,1Sh,N 6 p 1
7c 1,MARL,Al,53b,C,1W,P 3 m11
7e11,GEC,Gw,@NZSC,F    +G,1Ss,refer gecveg
2w 2,WKO,Al+Pt,105a,A,0,P 1
1w 1,BOP,Tp+Pt,Ag,A,0,P 1 l 1
1w 1,BOP,Tp,Ag,A,0,P 1 l 1
7e22,GEC,Gw+Gr,@NZSC,G    +F,3Ss2Su,refer gecveg
3e 1,WKO,Mo,59,C,0,P 1
4e 1,WKO,Mo,59,D,0,P 1 l 1
4e 3,GEC,Mo/Gr,@NZSC,C,1Su,refer gecveg
4s 4,NLD,Mx,HK,C,0,P 1
7e 2,BOP,Mo/Ft,PkS,F    +E,1Ss,cN 5 m 6
7e 4,BOP,Mo/Vo,18aH,F,1Sh1Ss,P 2 m 8 n 6
4e 1,WKO,Mo,57,D    +C,0,P 1 l 3
6e 5,WKO,Ar+Gw,MtH,E,1Sh1Ss,P 1 p 2 m 4
6s11,SI,Al,50c,C,1W,P 2 p 3 m11
7e24,GEC,Ac,@NZSC,E,3G 2Ef,refer gecveg
8e 9,GEC,Ac,@NZSC,G,5G,refer gecveg
4s 1,GEC,Gr,@NZSC,B,1G,refer gecveg
7e 9,BOP,Mo/Ft/Vo,126,F,1Ss,cN 5 m 1
4e 1,WKO,Mo,57,D    +C,1R,P 1 l 3
2s 1,WKO,Us,48b,A'   +B',0,P 1 l 1 n 8
6e 6,BOP,Mo/Lp/Us,MbH,D    +E,1Sh,P 1 m 1
6e11,BOP,Mo/Vo,16 H,D,0,P 1
8s 1,BOP,(Mo)/Vo,126,G,1Ss,cN3a n 4
7e 6,GEC,Mj,@NZSC,C,3Ef1G,refer gecveg
2w 1,GEC,Al,@NZSC,A,0,refer gecveg
7e24,GEC,Ac,@NZSC,F,3G,refer gecveg
7e19,GEC,Mx,@NZSC,B    +C,2Ef1G,refer gecveg
6e15+3e 5,BOP,(Kt)/Mo/Ft,16bH,E    +B,2Sh1G,P 2 m 6 n 6
6e22,GEC,Ac,@NZSC,E    +D,1Ef,refer gecveg
town,GEC,town,town,town,town,refer gecveg
1s 1,WKO,Us,48,A,0,P 1 l 1
6e23,GEC,(Mo)/Gw,@NZSC,E,1Ss1G,refer gecveg
4e 9,BOP,Mo/Vo,17a,C,0,cN 5
6e 4,WKO,Mo/Vo,57 H,E    +F,1Ss,P 2 m 6
2w 1,BOP,Tp,Pr,A    +B,0,P 1 h 2 l 2
4e 1,WKO,Mo,57,D,0,P 1
6e15,BOP,Kt/Mo/Ft,16bH,E    +F,1Sh,P 1 n 6 m 4
7e 4,BOP,Mo/Vo,126,F    +G,0,cN 5
6e11,BOP,Mo/Vo,20aH,E,0,cN 5
6e10,GEC,Mj,@NZSC,E,1Ss,refer gecveg
3e 3,NLD,Sm',RPa,B    +C,0,P 1
6e 1,WKO,Mo/Vo,62eH,D    +E,0,cN3a
2s 3,GEC,Mo/Gr+Lo/Gr,@NZSC,A'   +B,0,refer gecveg
8e 1,EBP,Gw,125a,G,2Da,N3a N4a
6e24,GEC,Gw+Gr,@NZSC,E    +D,1Ss,refer gecveg
2s 1,GEC,Lo+Al,@NZSC,A,2Sb,refer gecveg
7e 4,BOP,Mo/Vo,18aH,F,1Sh1Ss,P 2cn 5
7e22,GEC,Gw,@NZSC,F    +E,1G 1Ss1Ef,refer gecveg
7w 1,GEC,Pt+Al,@NZSC,A,0,refer gecveg
3e 1,WKO,Mo,59a,B    +C,0,P 1 l 1
7e 9,BOP,Mo/Ft/Vo,16bH,F,1Sh1Ss,P 2cn 5
6e 2,GEC,Mj,@NZSC,C,1Ef,refer gecveg
3e 1,WKO,Mo,60b,B    +C,0,P 1 m 6 h 2
6e10,WKO,(Mo)/Vo,87dH,E    +D,0,N 6
6e22,GEC,Ac+Ar,@NZSC,D    +E,1Ss1G 1Ef,refer gecveg
6e 1,WKO,Mo/Us,59,D    +E,0,P 1
7e 8,GEC,Ar,@NZSC,F,2G 2Ss,refer gecveg
7e19,GEC,Ac,@NZSC,D,3Ef,refer gecveg
3w 1,WKO,Al,2,A    +B,2Sb,P 1 h 1
6e13,WKO,Gw,WnS,F    +E,2Sh1Ss,P 2 m 4 m 6
7e11,GEC,Gw,@NZSC,F,1Ss,refer gecveg
6e 5,WKO,(Mo)/Ar+Gw,29aH,E,0,cN 5
8e11,SI,Gw,100,G,4Sc,h 4
6e15,BOP,Kt/Mo/Ft,14dH,E,0,cN 5
7e 2,BOP,Kt/Mo/Ft,126c,F    +E,0,cN3a
7e 6,WKO,Vo,130c,F    +G,1Da1Ss,N3a
3w 1,BOP,Tp,Oum,A,0,P 1 l 1
6e 6,BOP,Mo/Vo,MbH,E,1Sh1Ss,P 2 m 6
7e 7,WKO,Wb,BRock,E    +D,1W,N 6 H 3
3s 1,WKO,Al+Gr+Tp,1b,B',0,P 2 p 1
6e23,GEC,(Mo)/Gw,@NZSC,E    +D,1G 1Ss,refer gecveg
6e 1,WKO,Mo/Us,57 H,E,1Sh,P 1
6e15,BOP,Kt/Mo/Ft,MbH,E,1Sh,P 2 p 1cn 5
7e 4,BOP,Mo/Vo,19 H,F,1Ss,cN3a
7e19,GEC,Ac,@NZSC,E    +D,2Ef1G,refer gecveg
6e15,BOP,Kt/Mo/Ft,14dH,E,0,cN 5
7e 1,BOP,Mo/Vo,126,F,0,cN3a
6e 4,GEC,Ar,@NZSC,E,1Ss,refer gecveg
4e 9,BOP,Mo/Vo,17,C,0,P 1
3w 3,GEC,Al,@NZSC,A,2Sb,refer gecveg
6e 4,BOP,Mo/Ft,16 H,E    +D,1Sh1R,P 1cN 5
4e 1,WKO,Mo,57,D    +C,1Ss,P 1
6e 1,WKO,Mo/Vo,57 H,E    +F,1Es1Ss,P 1cn 5
4e 9,BOP,Mo/Vo,19,C,0,N3a
3e 1,WKO,Mo,59,C    +B,0,P 1 l 1
4e 1,GEC,(Mo)/Ar,@NZSC,C    +D,0,refer gecveg
7e19,GEC,Ac,@NZSC,D    +E,2Ef1G,refer gecveg
6e13,WKO,Gw+Ar,121d,F,1Sh1Ss,P 2cN 5 m 1
6e 1,WKO,Mo/Gw,60eH,E    +D,0,P 1
7e 8,GEC,Ac,@NZSC,F    +E,1Ss1G 1Su1Rs,refer gecveg
6e11,BOP,Mo/Vo,17aH,D,0,cN3a
6e 1,WKO,Mo/Sm,60dH,E,0,N3a m 6
7e 8,GEC,Ac,@NZSC,F,2Ef1G,refer gecveg
8e 1,WKO,Vo,130c,G    +F,2Da1Ss,N 5 n3b
6e10,GEC,Mj,@NZSC,D    +E,2Ef1Ss,refer gecveg
4e 9,BOP,Mo/Vo,17,C,1Sh,P 1cn 5
8e 8,GEC,Gw,@NZSC,H    +G,2Sc1G 1Rf,refer gecveg
8e 4,GEC,Gw,@NZSC,G,2Ss2Da1G,refer gecveg
6e 1,WKO,Mo/Gw,60eH,E,1Ss1G,P 1 n3a
8s 1,GEC,Gw,@NZSC,H    +G,2Sc2Ss2Rf,refer gecveg
2w 1,BOP,Tp,Po,A,0,P 1 l 1
3e 1,WKO,Mo,57,C    +B,0,P 1
7e24,GEC,Ac,@NZSC,F    +G,3G 2Rs1Ss,refer gecveg
3w 1,GEC,Al,@NZSC,A,0,refer gecveg
6e10,WKO,(Mo)/Vo,62eH,E    +F,1Sh1Ss,P 1 m 4cn 5
7e19,GEC,Mx,@NZSC,D    +E,3Ef2G 1Su,refer gecveg
7s 3,MARL,Al,53b,C,0,M 5
4e 5,NLD,Sm',YC,C,1T,P 1
7e19,GEC,Ac+Mx,@NZSC,D    +E,3Ef1G,refer gecveg
8e 9,GEC,Ac,@NZSC,G,4G,refer gecveg
8e 4,GEC,Gw,@NZSC,H,1Da,refer gecveg
7e 9,BOP,Mo/Ft/Vo,16bH,F    +E,3G 1Sh,P 2
3w 1,EBP,Al,1c,B,0,P 1 H 1
7e11,GEC,Gw,@NZSC,E    +D,2Sh2W 2Ss,refer gecveg
6e10,WKO,(Mo)/Vo,62eH,E    +F,1Sh1Ss,P 1 m 6
4e 1,WKO,Mo,57,D,0,P 1
2s 1,WKO,Us,48,A /B,0,P 1
8e 9,GEC,Ac,@NZSC,G    +H,5G,refer gecveg
6e22,GEC,Ar+Ac,@NZSC,D    +E,0,refer gecveg
6e22,GEC,Ar,@NZSC,E    +F,1Ss,refer gecveg
7e 8,GEC,Ac,@NZSC,E    +F,2G 2Rs,refer gecveg
7e 7,WKO,Wb,BRock,E    +D,1W,N 6 H 3
6e22,GEC,Ar,@NZSC,E    +F,2Ss1Sh,refer gecveg
4s 2,BOP,Wb,Koe,B,0,P 1
6e13,WKO,Gw+Ar,121d,F,1Sh,P 2 m 4 m 6
7e11,GEC,(Mo)/Gw,@NZSC,E    +F,1G,refer gecveg
7e19,GEC,Mx+Ac,@NZSC,D,2Ef1G 1Sh,refer gecveg
8e 7,NHB,Mo/Sb,MawH,D    +E,1Ss,N4b m 5
7e 8,GEC,Ar,@NZSC,F    +E,1G 1Ss1Ef,refer gecveg
7e 2,BOP,Kt/Mo/Ft,MbH,E    +F,2Sh1Ss,M 6cn 5 p 2
6e 1,WKO,Mo/Us,59,D    +E,0,P 1
3w 1,WKO,Al,2,A    +B,2Sb,P 1 h 1
6e11,BOP,Mo/Vo,17 H,E,1Sh,cN 5
6e 1,WKO,Mo/Vo,62eH,D    +E,0,cN 5 P 2
3w 1,WKO,Al,98,A    +B,1Sb,P 1 n 8
7e 6,WKO,Vo,130c,F,0,N3a
7e11,GEC,(Mo)/Gw,@NZSC,E    +F,1G,refer gecveg
3e 9,BOP,Mo/Vo,17,B,0,P 1
7e24,GEC,Ac,@NZSC,F,2G 1Ef,refer gecveg
2s 1,GEC,Af+Lo,@NZSC,A,0,refer gecveg
4e 1,WKO,Mo,62a,D    +C,0,P 1
8e 8,GEC,Gw,@NZSC,G    +F,1Da,refer gecveg
7e 8,GEC,Ac,@NZSC,E,1Ef1Ss,refer gecveg
2s 2,BOP,Tp,TRa,A    +B,0,P 1 l 2
3e 4,BOP,Mo/Vo,18a,B,0,P 1
6e 1,WKO,Mo/Vo,62eH,E    +D,0,P 1
6e22,GEC,Ac+Ar,@NZSC,D,0,refer gecveg
7e 5,BOP,Mo/Lp/Us,NS,F,1Sh1Ss,P 2 m 6
6e15+4e 5,BOP,(Kt)/Mo/Ft,16bH,E    +C,2Sh,P 1cn 5 n 6
8e 3,BOP,Vo,PK,G    +F,0,N 6
6e 4,WKO,Mo/Vo,57 H,E    +F,0,M 1 m 8
3e 1,GEC,Mo/Mj,@NZSC,B    +C,0,refer gecveg
7e11,GEC,Gw,@NZSC,F,1G,refer gecveg
6e 4,BOP,Mo/Ft,14bH,E,1Ss1Sh,P 1 m 6
6e 1,WKO,Mo/Gw,62dH,D /E,0,P 1 m 1
6e 4,GEC,Ar+Gr,@NZSC,D,0,refer gecveg
6e 4,WKO,Mo/Vo,57 H,E    +F,1Ss1Sh,P 1 m 4
4e 9,BOP,Mo/Vo,17,C,0,P 1cN 5
7e 8,GEC,Ar,@NZSC,E    +F,2G 1Rs,refer gecveg
7e19,GEC,Ac+Ar,@NZSC,E,2Ef1Ss,refer gecveg
4e 9,BOP,Mo/Vo,17,C,0,P 1 n 6
7e19,GEC,Ac,@NZSC,E    +D,2Ef2G,refer gecveg
7e 2,EBP,Mo/Gw,125a,F    +E,1Da,N3a N4a
2w 1,BOP,Tp+Pt,Po,A,0,P 1 l 1
6e15,BOP,Kt/Mo/Ft,14dH,E,1Sh,P 2
7e 8,GEC,Ar,@NZSC,F,1Da,refer gecveg
6e21,GEC,Mo/Ac+Mo/Ar,@NZSC,D,0,refer gecveg
7e 8,GEC,Ar+Ac,@NZSC,E,1Ss,refer gecveg
2w 1,BOP,Tp,Re,A,0,P 1 l 1 n 8
7e19,GEC,Ac+Ar,@NZSC,E,2Ef1Ss,refer gecveg
2s 3,GEC,Mo/Gr+Lo/Gr,@NZSC,A'   +B,0,refer gecveg
4e 1,WKO,Mo,57,D,0,P 1
7e 8,GEC,Ac,@NZSC,F,1Ef1G,refer gecveg
7e 8,GEC,Ac+Gr,@NZSC,E,1G 1Ss,refer gecveg
6e10,WKO,(Mo)/Vo,87cH,E    +F,0,N3a
7e 2,WKO,Gw+Ar,121d,F    +G,0,cN3a
6e13,WKO,(Mo)/Gw,60eH,F    +E,1Ss,P 1 m 6
6e10,WKO,Mo/Vo,62eH,E,2Sh1Ss,P 1
2w 1,GEC,Al,@NZSC,A,2Sb,refer gecveg
6e11,BOP,Mo/Vo,WH,D,0,cN 5
3s 1,GEC,Al/Gr,@NZSC,A',3Sb1G,refer gecveg
3w 3,GEC,Al,@NZSC,A,2Sb,refer gecveg
6e15,BOP,(Kt)/Mo/Ft,OtH,E    +F,1Sh,P 2
4e 5,BOP,Mo/Vo,Or,C,1G,P 1
2s 3,GEC,Mo/Gr+Lo/Gr,@NZSC,A'   +B,0,refer gecveg
8e 4,GEC,Gw,@NZSC,G    +H,2Da1Sc,refer gecveg
6e 9,BOP,Kt/Mo/Vo,NaH,E,1Sh,P 2 m 6
7e 2,BOP,Kt/Mo/Us,126c,F    +E,1Sh,P 2cn 5 m 6
6e15,BOP,Kt/Mo/Ft,16bH,E,1Ss,P 2 m 4cn 5
3e 9,BOP,Mo,Or,B    +C,0,P 1
6e 1,WKO,Mo/Us,63bH,D    +E,0,P 1
6e22,GEC,Ac,@NZSC,D    +C,2G 1Ef,refer gecveg
6e 1,WKO,Mo/Us+La,57 H,E,1Ss,P 1 m 1
7e 1,WKO,(Mo)/Li,113a,G    +E,0,M 6 P 2
4e 1,WKO,Mo,59a,C    +D,0,P 1
6e10,WKO,(Mo)/La,87cH,E    +D,0,P 1cn 5
6s 8,SI,Al,95a,A',1D,P 2
6e 7,WKO,(Mo)/Sm+Mm,62cH,E    +F,1Sh,cN 5 P 2
4e 1,WKO,Mo,62a,D    +C,1Sh,P 1 m 1
7e 1,WKO,Sm+Mm,117f,G,1Ss1Sh,M 6
6e15,BOP,Kt/Mo/Ft,14dH,E,1Sh,P 2
2w 1,GEC,Al,@NZSC,A,0,refer gecveg
6e22,GEC,Ar+Ac,@NZSC,E,1G,refer gecveg
8s 2,GEC,Gr,@NZSC,A,5D,refer gecveg
6e 1,WKO,Mo/Vo,62eH,E,1Sh,P 1cn 5 m 8
7e 1,BOP,Mo/Vo+Us,PoS,F,1G 1Sh1Sb,M 4 m 7 p 2
7e 4,BOP,Mo/Vo+Us,19 H,F,1Sh,P 2 n 6 m 4
3e 1,WKO,Mo,57,C,0,P 1
2w 1,BOP,Tp,Prp,A,0,P 1 l 1
6e22,GEC,Ar,@NZSC,E    +D,1Ef,refer gecveg
6e11,BOP,Mo/Vo,WH,D /E,1Sh,P 2 m 6
7e11,GEC,Gw,@NZSC,F    +E,1Ss,refer gecveg
6e15,WKO,Us,24dH,E    +F,1Ss,P 2
6e 6,BOP,Mo/Lp/Gw,WxH,E,1Ss,P 2cn 5 m 6
6e 9,BOP,Kt/Mo/Vo,4H,E    +D,0,N 6
8e 8,GEC,Gw,@NZSC,F,0,refer gecveg
4e 1,WKO,Mo,59,D,0,P 1
6e 5,BOP,Mo/Us,18aH,E,1Sh1Ss,P 2 n 6 m 1
7e26,GEC,Al+Gr,@NZSC,A,2D,refer gecveg
7e19,GEC,Ac,@NZSC,D,2G 1Ef,refer gecveg
7e 1,EBP,Gw,125a,F,1Ss,M 1 n3a p 2
7e 1,BOP,Mo/Vo,PoS,F,2Sh,P 2 m 4 n 6
2s 3,GEC,Mo+Lo,@NZSC,B,0,refer gecveg
2s 2,BOP,Ta/Tp,Ati,A,0,P 1 l 1
4e 1,WKO,Mo,62a,D    +C,0,P 1cn 5
6e 3,BOP,Mo/Vo,OtH,D    +E,1Sh1Sb,P 1
6e 1,WKO,Mo/Vo,57,D    +E,0,P 1
7e 3,EBP,Wb,23,D,2W,H 3
6e 4,GEC,(Mo)/Ac,@NZSC,D,0,refer gecveg
6e 6,BOP,Mo/Lp/Gw,WxH,E    +F,1Sh,M 1 P 2 m 6
7e 1,BOP,Mo/Vo+Us,PoS,F,1G 1Sh,M 6 p 2 m 7
8e 4,GEC,Gw,@NZSC,G    +H,2Da2Sc1Su,refer gecveg
6e22,GEC,Ac,@NZSC,D,1G,refer gecveg
6e15,BOP,Kt/Mo/Ft,MbH,E,0,M 1 m 4 m 6
3w 1,WKO,Al,2,A',1Sb,P 1 l 3 n 8
7e 3,GEC,Mb,@NZSC,F,1Ss1Su,refer gecveg
7e 8,GEC,Ar,@NZSC,F    +E,2G,refer gecveg
7e22,GEC,Gw,@NZSC,G,2G 2Su2Rs,refer gecveg
6e24,GEC,Gw,@NZSC,E,1Ss,refer gecveg
6e10,WKO,(Mo)/La,87cH,E    +D,0,cN3a m 6
4e 1,WKO,Mo,59a,D,0,P 1
3e 5,BOP,Mo/Ft,Mj,B,0,P 1
4e 1,WKO,Mo,59a,D    +C,0,P 1 l 1
7e 4,BOP,Mo/Vo,20aH,F,0,P 2cN 5 n 6
7e 2,BOP,Mo/Ft,PkS,F,2Sh2Sb,M 6 p 2 m 1
3w 3,GEC,Al,@NZSC,A,0,refer gecveg
6e 5,BOP,Mo/Us,19 H,E,1Sh1Ss,P 2 n 6 m 1
1s 1,WKO,Us,48a,A    +B,0,P 1
7e19,GEC,Ac,@NZSC,D,3Ef2G,refer gecveg
4e 4,BOP,Mo/Us,Na,C,1Sh1Sb,P 1
2w 1,EBP,Al,1,A,0,P 1 l 1
3e 1,EBP,Mo,51,B,0,P 1 L 1
6e 1,WKO,Mo/Vo,62eH,E,1Sh,P 1cn 5
7e 8,GEC,Ar,@NZSC,F,1Ss1G,refer gecveg
6e 8,WKO,Mo/Sm+Mm,62cH,E    +F,1Sh1Ss,P 1 p 2 m 6
7e 2,EBP,(Mo)/Gw,125a,F    +G,1Da,N3a N4a
7e 1,WKO,(Mo)/Sm,117f,F    +G,1Sh1Ss,cN 5 m 6 p 2
2s 2,BOP,Ta/Tp,TTo,A,0,P 1 l 1 l 2
4e 4,GEC,Kt/Mo,@NZSC,C,0,refer gecveg
6e11,BOP,Mo/Vo,20aH,D    +E,1Sh,N 6 M 6 m 4
3e 2,BOP,Mo,Ot,B,0,P 1
6e 1,EBP,Mo/Us,51 H,E    +D,1Ss,P 1 M 1
2w 1,EBP,Al,1,A,1D,P 1 L 1
4e12,BOP,Mo/Vo,Mg,C,0,P 1 P 2
3e 1,WKO,Mo,59a,C,0,P 1 l 1
